name,uuid,hash,language,sets,source,path
zebra-puzzle,81e57d57-8d24-4e7e-8b48-97f704cc872e,8875dae64357a97d7cc508cce46a284944ee563121cdb009519d5e16a412d140,python,polyglot,https://github.com/exercism/python,cat/88/75/8875dae64357a97d7cc508cce46a284944ee563121cdb009519d5e16a412d140
house,ac3f251d-429f-4719-b98f-cd9418a00385,8899237e6713a5db17194126c33863d988a4bb4cd03cad022509e9f845301e8f,java,polyglot,https://github.com/exercism/java,cat/88/99/8899237e6713a5db17194126c33863d988a4bb4cd03cad022509e9f845301e8f
connect,427beaf0-6d92-4297-b6ce-b127792e82ae,4a95444442fde439f6d25da23875e38d0f602faec533c7d5db6253d11eb9ba65,go,polyglot,https://github.com/exercism/go,cat/4a/95/4a95444442fde439f6d25da23875e38d0f602faec533c7d5db6253d11eb9ba65
ocr-numbers,d63d9636-22b8-49f8-aa0b-f389ea30e65d,4a1519f6e2cbe52b5ec9474c7a04d6a5dd87efa20bea180b2f320c7aba9b4470,rust,polyglot,https://github.com/exercism/rust,cat/4a/15/4a1519f6e2cbe52b5ec9474c7a04d6a5dd87efa20bea180b2f320c7aba9b4470
scale-generator,793607b4-5b57-40d1-8508-a1444844da82,b866b73e5155ba69358ec46f0702cbc1fa48a282beb02101d79fe320e83f39a7,python,polyglot,https://github.com/exercism/python,cat/b8/66/b866b73e5155ba69358ec46f0702cbc1fa48a282beb02101d79fe320e83f39a7
simple-cipher,fda1affe-30a8-4012-a0a7-d70ffa1e6f8a,db2ff9d97ab4557bf59821b0756bf3292158fe41a9453a28f2220c4148b5adb1,rust,polyglot,https://github.com/exercism/rust,cat/db/2f/db2ff9d97ab4557bf59821b0756bf3292158fe41a9453a28f2220c4148b5adb1
tournament,bb8c6309-4c4c-417c-97e7-17256eb62ef7,91d0d9b6f56867aa071963a0a2ae4aa863d6187ee38c878cfc043add0d0a95a4,javascript,polyglot,https://github.com/exercism/javascript,cat/91/d0/91d0d9b6f56867aa071963a0a2ae4aa863d6187ee38c878cfc043add0d0a95a4
hexadecimal,f35f009f-66e3-411d-a00b-638101ab26c1,01e00b16c9b1efdb098c1134b0ff75642fc957fdfcff2e6f9e69b319dd237a7e,go,polyglot,https://github.com/exercism/go,cat/01/e0/01e00b16c9b1efdb098c1134b0ff75642fc957fdfcff2e6f9e69b319dd237a7e
yacht,b8088b0d-3d7e-400f-b0ce-96a8eb38edca,082b0943b66b331692b1e133d94a78fe8b211da5af3c9b59417b86ea5962f965,cpp,polyglot,https://github.com/exercism/cpp,cat/08/2b/082b0943b66b331692b1e133d94a78fe8b211da5af3c9b59417b86ea5962f965
complex-numbers,b620def6-36d7-48b2-b27a-7639ebf6af1a,21e8245f07a7885c8f1d31e63a365b0cdedb6d71e2206954536bedc9ccdc2bef,cpp,polyglot,https://github.com/exercism/cpp,cat/21/e8/21e8245f07a7885c8f1d31e63a365b0cdedb6d71e2206954536bedc9ccdc2bef
wordy,772187c7-9d41-4130-a495-471139806d8d,21146dcf7601e38642d2d1b56e4fcd3ddb063764111dd8bfd40ec8f0f3452af0,rust,polyglot,https://github.com/exercism/rust,cat/21/14/21146dcf7601e38642d2d1b56e4fcd3ddb063764111dd8bfd40ec8f0f3452af0
state-of-tic-tac-toe,99be234a-6dc8-4cae-a8e8-98bb9adcca65,21bd770f27d7f475f910c5feffbe9513417b21b96a95f5f26a702a313aa68776,javascript,polyglot,https://github.com/exercism/javascript,cat/21/bd/21bd770f27d7f475f910c5feffbe9513417b21b96a95f5f26a702a313aa68776
spiral-matrix,8684cff8-b9cc-4c81-b8e9-6562e85004d9,a071ab77d8c1efe980e7b57276119895fe0c90fd6ba7f93b29a2f303169e2726,cpp,polyglot,https://github.com/exercism/cpp,cat/a0/71/a071ab77d8c1efe980e7b57276119895fe0c90fd6ba7f93b29a2f303169e2726
resistor-color-trio,3cf98e6c-911f-4921-bfc8-7c0f84d49e19,ce48019c56a20afa60c62413f00ea11e8296da10e56bb85c395c36587db3445d,java,polyglot,https://github.com/exercism/java,cat/ce/48/ce48019c56a20afa60c62413f00ea11e8296da10e56bb85c395c36587db3445d
sublist,96f99673-4526-4e89-ab53-e27843189d8d,ab45fb3d600f68c9775c1a0431f5ea0e268b4fc5610ca4de211f80d6862421cc,go,polyglot,https://github.com/exercism/go,cat/ab/45/ab45fb3d600f68c9775c1a0431f5ea0e268b4fc5610ca4de211f80d6862421cc
beer-song,dbfcde78-4a92-4095-87c4-becd072b7963,ab20e6b6abde101860cbb743b377f2215f86e73d619b1ba9939172dad96518bb,python,polyglot,https://github.com/exercism/python,cat/ab/20/ab20e6b6abde101860cbb743b377f2215f86e73d619b1ba9939172dad96518bb
zebra-puzzle,f883643b-31d4-427a-8a4d-efbaeb83739a,b7a6edee7245187f0363d66e16a173323241aa90fa98b801dc1fef70b2fa68a9,cpp,polyglot,https://github.com/exercism/cpp,cat/b7/a6/b7a6edee7245187f0363d66e16a173323241aa90fa98b801dc1fef70b2fa68a9
tree-building,e2e61bc8-7c78-4799-8229-d78cdcabab77,6b49ea342813468e01329fb1df70de6f5952facc72ed32247c57d25c36d06ae0,go,polyglot,https://github.com/exercism/go,cat/6b/49/6b49ea342813468e01329fb1df70de6f5952facc72ed32247c57d25c36d06ae0
scale-generator,37b03a5e-58fe-4e9a-91bb-a40386fdb115,4589eba531dbb56e22b4139d79c59f357cbcca1d98919c2c95bcd57cf19ea56a,rust,polyglot,https://github.com/exercism/rust,cat/45/89/4589eba531dbb56e22b4139d79c59f357cbcca1d98919c2c95bcd57cf19ea56a
simple-linked-list,934d8c1a-5e59-4ed7-9603-68f5250fc08e,2a4ed76b3eb9a23311368f9e83d5cc829e0817740137d3c8f1d55ca7354debdf,python,polyglot,https://github.com/exercism/python,cat/2a/4e/2a4ed76b3eb9a23311368f9e83d5cc829e0817740137d3c8f1d55ca7354debdf
macros,fe060c3b-473d-4ccd-86ec-4980ac1edc7b,2a693a97301643e9dd2d551ad6921d8bb8c94ac820f29853c134248254e8ccb8,rust,polyglot,https://github.com/exercism/rust,cat/2a/69/2a693a97301643e9dd2d551ad6921d8bb8c94ac820f29853c134248254e8ccb8
bottle-song,42dbf3d0-5bcb-44cc-a836-9a967b2c4bc9,28448d25a091ffd346811a8bcfbc63cac89b94f90bec5952d3412635e9ece116,javascript,polyglot,https://github.com/exercism/javascript,cat/28/44/28448d25a091ffd346811a8bcfbc63cac89b94f90bec5952d3412635e9ece116
sgf-parsing,c6606aa4-3258-4a4a-81ba-393e9bf1a40a,75668b80b75ab054b2911dcc82f1da4c00e24498f65e3e1227e93656d5be4321,java,polyglot,https://github.com/exercism/java,cat/75/66/75668b80b75ab054b2911dcc82f1da4c00e24498f65e3e1227e93656d5be4321
robot-name,c4858d33-0508-4c6a-a3cf-afd8e8437aa3,99b644e214facb96feac797a8293b1d6080de8367a9c44d65aac68d5468a29f7,python,polyglot,https://github.com/exercism/python,cat/99/b6/99b644e214facb96feac797a8293b1d6080de8367a9c44d65aac68d5468a29f7
sum-of-multiples,ff5d1ec1-0b53-4b00-bf8d-3335d89cf1e1,9946b557815cfe8f673edb99a49538c98f9ffc9609634fd52f84dfd168e9915f,javascript,polyglot,https://github.com/exercism/javascript,cat/99/46/9946b557815cfe8f673edb99a49538c98f9ffc9609634fd52f84dfd168e9915f
wordy,8b99a319-510a-4e10-841f-f875e2118e15,3c69451b3aa6ee241ea2892ac2b9c738853f533064b86a0434b4142ac2580074,go,polyglot,https://github.com/exercism/go,cat/3c/69/3c69451b3aa6ee241ea2892ac2b9c738853f533064b86a0434b4142ac2580074
nucleotide-codons,e2617f3c-2a55-4434-84ca-f0c526be7a32,3c34dd375064c5db5d9e206b4d0706564c8dad5289814f501be5bc599cc01c24,rust,polyglot,https://github.com/exercism/rust,cat/3c/34/3c34dd375064c5db5d9e206b4d0706564c8dad5289814f501be5bc599cc01c24
custom-set,85c494bc-79e3-47c0-85cf-93f8887f46ff,6e19d3c499d42a047fa14482d37db67279e8c1a64a0e80cc68fea384c1a41226,java,polyglot,https://github.com/exercism/java,cat/6e/19/6e19d3c499d42a047fa14482d37db67279e8c1a64a0e80cc68fea384c1a41226
go-counting,a68d8232-6276-41ea-b12e-14785f959497,059f9c9264a8a8f51070e569c3278b95cbf60c1049ec43127ca04847303fdd2d,javascript,polyglot,https://github.com/exercism/javascript,cat/05/9f/059f9c9264a8a8f51070e569c3278b95cbf60c1049ec43127ca04847303fdd2d
phone-number,d60b6834-f796-4b64-a173-cd49f8eca2c7,2cf6b64acf34df001e085824d9abe6ed550ba312bd950702c1149d1d7e366b93,python,polyglot,https://github.com/exercism/python,cat/2c/f6/2cf6b64acf34df001e085824d9abe6ed550ba312bd950702c1149d1d7e366b93
ocr-numbers,184f46ff-f5bd-4fb7-bd59-9a153c4da400,5668cb82edb7423e456173aa08e1161560f6575e58993d904ce75c05f6f5c1c1,javascript,polyglot,https://github.com/exercism/javascript,cat/56/68/5668cb82edb7423e456173aa08e1161560f6575e58993d904ce75c05f6f5c1c1
food-chain,9c4e35cc-7aa7-4733-ac27-6abdbb6497e3,5667e743bfc69fdb3124171677600bce341a18b8ceafdb6ab5b7542fa95dc167,go,polyglot,https://github.com/exercism/go,cat/56/67/5667e743bfc69fdb3124171677600bce341a18b8ceafdb6ab5b7542fa95dc167
pig-latin,1e6a7fb8-3674-4098-a568-fa1b8c6c91bf,adcc945df40ba212605f665c4adf5c5e7e1d186d4af8b8256a1726becaa5dd0f,java,polyglot,https://github.com/exercism/java,cat/ad/cc/adcc945df40ba212605f665c4adf5c5e7e1d186d4af8b8256a1726becaa5dd0f
series,abd108a2-32bb-4096-b008-1732e55f7ee8,8235138580cb64db9eec1c72774613a5f7d28ce346e4e2e1e9d90fb0042e1523,java,polyglot,https://github.com/exercism/java,cat/82/35/8235138580cb64db9eec1c72774613a5f7d28ce346e4e2e1e9d90fb0042e1523
crypto-square,c50eb456-c9f5-42c4-ae1f-c1a95a4c7d21,7bf2bd4d2c3369c13ba39e1192d773e54c3644ac55c97f1fc5bcb57c01290a49,cpp,polyglot,https://github.com/exercism/cpp,cat/7b/f2/7bf2bd4d2c3369c13ba39e1192d773e54c3644ac55c97f1fc5bcb57c01290a49
rest-api,10b48b4b-1ae9-4511-b7d6-f60af001ef00,7be6d259bae5ce3ccafa5c4728532f27206ee359f6033a14f3cc9a2158551b46,javascript,polyglot,https://github.com/exercism/javascript,cat/7b/e6/7be6d259bae5ce3ccafa5c4728532f27206ee359f6033a14f3cc9a2158551b46
rational-numbers,296f0edb-b8e8-4cb1-94ea-e0c53c4c6f12,54fe24116176c6c8e5105513026f1ec4e533fe51a5591f60a8cd5bf4ef1dc0a9,javascript,polyglot,https://github.com/exercism/javascript,cat/54/fe/54fe24116176c6c8e5105513026f1ec4e533fe51a5591f60a8cd5bf4ef1dc0a9
kindergarten-garden,581fb44d-93a0-4824-bfa2-090277f23053,0d7aa422d406121d6abec44c10a5cef95fdd79ab81a474c5d9d33d80c03c23b2,java,polyglot,https://github.com/exercism/java,cat/0d/7a/0d7aa422d406121d6abec44c10a5cef95fdd79ab81a474c5d9d33d80c03c23b2
protein-translation,9049a15b-9161-40f4-96e8-23118c9bfc08,0d77b6c93eb1394ff74e669d2703a2c69f2f49e092392ab1051e8edc6e49de21,go,polyglot,https://github.com/exercism/go,cat/0d/77/0d77b6c93eb1394ff74e669d2703a2c69f2f49e092392ab1051e8edc6e49de21
robot-simulator,829c599b-3d3b-4549-90c8-a3b47be98d89,0dc179898bf3dd97353c9d9d81bab2f6dd6d92e486ad9d99fa0b1af4e3ee594a,go,polyglot,https://github.com/exercism/go,cat/0d/c1/0dc179898bf3dd97353c9d9d81bab2f6dd6d92e486ad9d99fa0b1af4e3ee594a
react,2220c0e8-8b30-4a9a-a80e-5a00d3258c6f,2fe78883e05b60f9f8278d3d31ef843ef5b453c8fa7e7cea102b16cfa7baa952,go,polyglot,https://github.com/exercism/go,cat/2f/e7/2fe78883e05b60f9f8278d3d31ef843ef5b453c8fa7e7cea102b16cfa7baa952
mazy-mice,d61d4235-37d5-446e-9813-5bb23e6a6360,26d15aed3ca329a26150456d02f227dd4e403503c1611bfc4da7bc9f12514358,java,polyglot,https://github.com/exercism/java,cat/26/d1/26d15aed3ca329a26150456d02f227dd4e403503c1611bfc4da7bc9f12514358
variable-length-quantity,230bff97-a287-4245-8937-92003e650280,0911355ef4ff5a1b5b9b4b9e4485159b8359b45ee3e7a4404664db0a72252b39,go,polyglot,https://github.com/exercism/go,cat/09/11/0911355ef4ff5a1b5b9b4b9e4485159b8359b45ee3e7a4404664db0a72252b39
food-chain,5708d93c-c80a-496a-90db-f56d99186a74,637a23b8e2b17e92af30a86b50b1054a95692d1d94816a02e9b798826928b0a4,java,polyglot,https://github.com/exercism/java,cat/63/7a/637a23b8e2b17e92af30a86b50b1054a95692d1d94816a02e9b798826928b0a4
sgf-parsing,833e1fe1-ce12-4681-852d-d7aa8270d0f4,a6dc378e8c5c0f2d2c2a64a0e7507c14d9b724cd342a0ef24ce0eb949386944b,python,polyglot,https://github.com/exercism/python,cat/a6/dc/a6dc378e8c5c0f2d2c2a64a0e7507c14d9b724cd342a0ef24ce0eb949386944b
connect,7d0dc59c-8214-491c-8a11-2f676b049f10,a6f1c6e26647fe96277a4c2a6078ae8d87e7ffc9d0fd7b9f065b47a8f64c6e13,python,polyglot,https://github.com/exercism/python,cat/a6/f1/a6f1c6e26647fe96277a4c2a6078ae8d87e7ffc9d0fd7b9f065b47a8f64c6e13
hangman,591aa0c3-56bb-4b5e-bfc5-460c9294dae0,a6bf7061ab60a8f046f56913aebd20a8a467ea21be2810c28dd1457556acf7a2,java,polyglot,https://github.com/exercism/java,cat/a6/bf/a6bf7061ab60a8f046f56913aebd20a8a467ea21be2810c28dd1457556acf7a2
grade-school,166ec2b2-503c-4f95-8160-1fdff1e370f6,a6bfb9331674bd468dcbb0038c5ac062e14ed2a38b5b9c5fa382d89365ef751d,javascript,polyglot,https://github.com/exercism/javascript,cat/a6/bf/a6bfb9331674bd468dcbb0038c5ac062e14ed2a38b5b9c5fa382d89365ef751d
robot-name,8802a9a4-4338-4652-bbd4-b4a04cb7aa14,e6c4b3394e0313e77f50a51c3a6987ff0ac0fd85cf70bce64f6e259c18aff318,cpp,polyglot,https://github.com/exercism/cpp,cat/e6/c4/e6c4b3394e0313e77f50a51c3a6987ff0ac0fd85cf70bce64f6e259c18aff318
react,35078274-5b1d-45a7-8273-abde64280513,80c9bfb601939e06925a494a7fd9b591577cee7952a31d8c42976d14aeaa3271,python,polyglot,https://github.com/exercism/python,cat/80/c9/80c9bfb601939e06925a494a7fd9b591577cee7952a31d8c42976d14aeaa3271
word-search,56035754-adb9-446a-a1f2-f23141569f6a,baefa2c6c89e18916cfc1156dcd2b2d05f4220922a42860d8955480416835f69,javascript,polyglot,https://github.com/exercism/javascript,cat/ba/ef/baefa2c6c89e18916cfc1156dcd2b2d05f4220922a42860d8955480416835f69
two-bucket,25631939-987a-4c45-82bd-a9750e2ad8b6,bab5a79f75bdadc0bbcf9c52b7e60aa8ed9c5f168a76ae2072749f8bccc47dbb,javascript,polyglot,https://github.com/exercism/javascript,cat/ba/b5/bab5a79f75bdadc0bbcf9c52b7e60aa8ed9c5f168a76ae2072749f8bccc47dbb
pov,13c197cb-59d2-437a-9e0b-c262d68f9dc3,6f95c124c80f531d71a4a0b9bfd96bfc53c0369cb52e0e02e644e3851c6261cc,go,polyglot,https://github.com/exercism/go,cat/6f/95/6f95c124c80f531d71a4a0b9bfd96bfc53c0369cb52e0e02e644e3851c6261cc
luhn-from,45662181-5593-4e03-9295-f18429a7e4fb,bbd40b5cc929e4b0303357039b3bbc9fc2c247c424393dc868cab39ff49528b7,rust,polyglot,https://github.com/exercism/rust,cat/bb/d4/bbd40b5cc929e4b0303357039b3bbc9fc2c247c424393dc868cab39ff49528b7
ocr-numbers,a754cce9-7d7e-404a-ba5f-3c8f7f34f74b,7a03ffb98a0c2cf1c2586bf1c85ef12c50c2bf45d90c53a8ef0a0b73cb989d29,java,polyglot,https://github.com/exercism/java,cat/7a/03/7a03ffb98a0c2cf1c2586bf1c85ef12c50c2bf45d90c53a8ef0a0b73cb989d29
say,b28fa614-adaa-4e0c-bf32-f58a4dd8ac32,950f16ec3efe9e6ceaf00e6d76ede532046185ed0d9fa8a95f26cb0a8ae4a5d9,go,polyglot,https://github.com/exercism/go,cat/95/0f/950f16ec3efe9e6ceaf00e6d76ede532046185ed0d9fa8a95f26cb0a8ae4a5d9
ledger,c8a3e810-58b3-476b-a03c-169ea468d04e,9592382f24f2610e68417542fc060a3e1ab749a64866c3133235be91c7706bcb,javascript,polyglot,https://github.com/exercism/javascript,cat/95/92/9592382f24f2610e68417542fc060a3e1ab749a64866c3133235be91c7706bcb
bottle-song,67e1ccb3-7385-4309-bd21-eac9ba37bfae,47445a5c09f908d21d7df91f0bfd92b5117527cd1324ac6988fba878857d172d,go,polyglot,https://github.com/exercism/go,cat/47/44/47445a5c09f908d21d7df91f0bfd92b5117527cd1324ac6988fba878857d172d
perfect-numbers,c0066e6c-c9d0-43ee-9916-df4614e0ea33,c8ae91af55cd66b3c9cb2badf293d90addcc581f9e1c15a29d0f065b34fe7683,cpp,polyglot,https://github.com/exercism/cpp,cat/c8/ae/c8ae91af55cd66b3c9cb2badf293d90addcc581f9e1c15a29d0f065b34fe7683
palindrome-products,dd4f5f9c-71fd-4793-ad1d-e91089b02990,c8f3341cfb1d2b02e968c3ce632b8d8887e57369e446abc38153b4dca73a963a,go,polyglot,https://github.com/exercism/go,cat/c8/f3/c8f3341cfb1d2b02e968c3ce632b8d8887e57369e446abc38153b4dca73a963a
sublist,f9e63efc-f391-4aae-83b7-3e0027bd1780,c248f985ae0baf3fb80ae8bcab52b9644d992bbc5187b0a5375d1f5bf89994b4,cpp,polyglot,https://github.com/exercism/cpp,cat/c2/48/c248f985ae0baf3fb80ae8bcab52b9644d992bbc5187b0a5375d1f5bf89994b4
promises,e70c97f0-c9f0-4fae-82e6-4173384fdc65,dc0285211df370a3affbd310ccd516a24389903b159c6ca926604df4d0b89421,javascript,polyglot,https://github.com/exercism/javascript,cat/dc/02/dc0285211df370a3affbd310ccd516a24389903b159c6ca926604df4d0b89421
food-chain,f3bb7fa3-c0f2-4d71-b3f5-55467a35889f,dc73af2293bd5e7bb4ca9865693b32ae6f0944cdb16a17961217b983a3aca7c4,python,polyglot,https://github.com/exercism/python,cat/dc/73/dc73af2293bd5e7bb4ca9865693b32ae6f0944cdb16a17961217b983a3aca7c4
phone-number,39a91913-217f-48a9-acf7-6fbc762de3db,5adf81a0e128996a1848ad00546900c33fe311d02b4f97fc4c025086aeec1a32,java,polyglot,https://github.com/exercism/java,cat/5a/df/5adf81a0e128996a1848ad00546900c33fe311d02b4f97fc4c025086aeec1a32
paasio,a179c797-e94c-43b1-8c0a-1b7f7d0b0fa1,f1e54baa233b13166020407c35034ae12abb2427f02420ac456204a3cf8f7c77,python,polyglot,https://github.com/exercism/python,cat/f1/e5/f1e54baa233b13166020407c35034ae12abb2427f02420ac456204a3cf8f7c77
variable-length-quantity,936e4860-be41-46a1-9e79-0c9f0ec602ff,230278ad9c8f21887416e5f3063c525ad35c13da8f5c21fee7ff5520bc866815,javascript,polyglot,https://github.com/exercism/javascript,cat/23/02/230278ad9c8f21887416e5f3063c525ad35c13da8f5c21fee7ff5520bc866815
octal,70149402-0fd0-4529-8b72-c4dac2b7e87e,ffc4c8ddb7a79c855a454f56939582477aef3475334c7beeca6e936aa25dd8b0,go,polyglot,https://github.com/exercism/go,cat/ff/c4/ffc4c8ddb7a79c855a454f56939582477aef3475334c7beeca6e936aa25dd8b0
scale-generator,8f79ca4e-51d1-40bc-88d8-78ca16469301,b638477d26fb38ceac46c9c63d58a80015467d83e3057b62557e7390b43100b5,go,polyglot,https://github.com/exercism/go,cat/b6/38/b638477d26fb38ceac46c9c63d58a80015467d83e3057b62557e7390b43100b5
protein-translation,d123b197-e93d-44c9-a316-4d4fdacd5e97,9748069f5f7734ac3e55a068de924c0d4817abad836f785005be4f215669c88c,java,polyglot,https://github.com/exercism/java,cat/97/48/9748069f5f7734ac3e55a068de924c0d4817abad836f785005be4f215669c88c
markdown,e53132c4-4af8-469a-8a72-b057decf3d9e,c9bf7230c555aec438af25f1a016cc857a50d837491c5230977f601e19dfb706,go,polyglot,https://github.com/exercism/go,cat/c9/bf/c9bf7230c555aec438af25f1a016cc857a50d837491c5230977f601e19dfb706
bowling,70dd8c34-9035-4c5a-bd58-cd7bfadb29cd,f34c75f23c6d48eddc57bc8f0e6c81293ab8283273e5eb8291f477d668b5fefb,rust,polyglot,https://github.com/exercism/rust,cat/f3/4c/f34c75f23c6d48eddc57bc8f0e6c81293ab8283273e5eb8291f477d668b5fefb
transpose,d715c049-d672-4dcf-b3e9-5054b213117b,2299623568360a7c26b835448ffa47643079b2a0a1743ec74204327fd7b85832,go,polyglot,https://github.com/exercism/go,cat/22/99/2299623568360a7c26b835448ffa47643079b2a0a1743ec74204327fd7b85832
dnd-character,477e835c-c100-4612-bf65-4c9b92a10af1,a1a2943233192bd99a5dae2f03533c946fb5deb89ed7a17e6d62458777e9a81c,go,polyglot,https://github.com/exercism/go,cat/a1/a2/a1a2943233192bd99a5dae2f03533c946fb5deb89ed7a17e6d62458777e9a81c
matrix,6f888cc2-4628-41ff-97c8-2cee2087b3a2,a5ddb177dba1c5012ce0846b4a10570ce97159db879b5320354f546856093a8b,go,polyglot,https://github.com/exercism/go,cat/a5/dd/a5ddb177dba1c5012ce0846b4a10570ce97159db879b5320354f546856093a8b
alphametics,5f075e44-9eaf-4b0c-9178-10fb3c464562,e916977571c2d9003205fe090ca1fd2601ae27743a67b569d1f76369e0618c58,javascript,polyglot,https://github.com/exercism/javascript,cat/e9/16/e916977571c2d9003205fe090ca1fd2601ae27743a67b569d1f76369e0618c58
fizzy,04009df6-e9d7-4e98-a726-a88a13eb4b10,7c1b622b70b31aaff3348c23fec77791458f793ffa9949c67116d0c3ee854a80,rust,polyglot,https://github.com/exercism/rust,cat/7c/1b/7c1b622b70b31aaff3348c23fec77791458f793ffa9949c67116d0c3ee854a80
palindrome-products,10d0a1e9-dcfc-4ac0-bf57-241356c00530,7c4d437c52f1383137577d3b89f0ac6e095838423738142a9c1ad6b7ff174964,javascript,polyglot,https://github.com/exercism/javascript,cat/7c/4d/7c4d437c52f1383137577d3b89f0ac6e095838423738142a9c1ad6b7ff174964
alphametics,030a83b3-7561-4121-bb82-3a8cbe6ddb8e,102d57cc1e2fb676c8729e84c6274f4e853ad13188935dfd9851ab10eee780af,go,polyglot,https://github.com/exercism/go,cat/10/2d/102d57cc1e2fb676c8729e84c6274f4e853ad13188935dfd9851ab10eee780af
killer-sudoku-helper,e5fb2a76-aa69-47b7-af4d-ab51b4521329,10d3bd8cb7ed6ad0747fb9bd6b486f8fa1fac2885828163a846cf2bd0f0e8e24,javascript,polyglot,https://github.com/exercism/javascript,cat/10/d3/10d3bd8cb7ed6ad0747fb9bd6b486f8fa1fac2885828163a846cf2bd0f0e8e24
all-your-base,7ecb4a9f-9198-412d-aa7b-32837bc9be36,1287132abac87f97b1b30ca9574d78d5a67493ff2d15ec76c6ff80e056c70659,java,polyglot,https://github.com/exercism/java,cat/12/87/1287132abac87f97b1b30ca9574d78d5a67493ff2d15ec76c6ff80e056c70659
allergies,829ba329-2852-4434-9514-fd0e8eb6065e,127127eba183c4adbd98dc6bce32c1344795baceca8efe9671150fc7515b6634,cpp,polyglot,https://github.com/exercism/cpp,cat/12/71/127127eba183c4adbd98dc6bce32c1344795baceca8efe9671150fc7515b6634
wordy,bb48379a-4c3b-4237-b95a-b8f9485ab37c,2e9cbd39daee9dd282263940e8bf1c1c387d5700bd04ca96b6b0da789e8d1d7a,javascript,polyglot,https://github.com/exercism/javascript,cat/2e/9c/2e9cbd39daee9dd282263940e8bf1c1c387d5700bd04ca96b6b0da789e8d1d7a
kindergarten-garden,23f338b7-980d-4523-bbe0-08914bffef53,8a7a2752d3d5e476252f58bd57723cf0ad343dc43a5573d8d8cb3d82821eed7b,go,polyglot,https://github.com/exercism/go,cat/8a/7a/8a7a2752d3d5e476252f58bd57723cf0ad343dc43a5573d8d8cb3d82821eed7b
